vote_average,budget,revenue,popularity,runtime,vote_count,profit,roi,log_budget,log_revenue,log_popularity,overview_length,director_success_rate,lead_actor_success_rate,genre_popularity_score,release_year,release_month,decade,is_modern,is_summer_release,has_tagline,budget_tier_encoded,release_season_encoded,is_english,title,overview_vader_pos,overview_vader_neg,overview_vader_neu,overview_vader_compound,tagline_vader_pos,tagline_vader_neg,tagline_vader_neu,tagline_vader_compound,overview_word_count,tagline_word_count
5.9,52000000,75450437,32.015477,112.0,736,23450437,1.4509699423076925,17.76675429577647,18.13898654833027,3.4969764515203554,229,7.5,7.5,7.52,2011.0,5.0,2010.0,1,0,1,3,1,1,The Change-Up,0.077,0.05,0.873,0.34,0.0,0.0,1.0,0.0,46,5
6.9,82000000,47434430,24.444186,118.0,435,-34565570,0.5784686585365854,18.22222981742365,17.674858915375093,3.2364872689611954,85,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Man on the Moon,0.167,0.0,0.833,0.3818,0.0,0.0,1.0,0.0,14,10
7.8,52000000,116112375,40.06688,178.0,1307,64112375,2.2329302884615383,17.76675429577647,18.570069038747533,3.715201957223012,78,7.899999999999999,7.857142857142857,7.871428571428572,2005.0,7.0,2000.0,0,0,1,3,3,1,Casino,0.231,0.0,0.769,0.6369,0.2,0.244,0.556,-0.1027,15,7
6.1,52000000,52826594,27.916284,92.0,675,826594,1.0158960384615383,17.76675429577647,17.78252531504748,3.3644048966419016,447,7.5,7.5,7.52,2010.0,5.0,2010.0,1,0,1,3,1,1,From Paris with Love,0.153,0.072,0.775,0.8493,0.0,0.306,0.694,-0.296,85,6
5.1,52000000,0,15.20707,104.0,278,-52000000,0.0,17.76675429577647,0.0,2.7854475667880227,223,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Bulletproof Monk,0.045,0.174,0.781,-0.7783,0.0,0.0,1.0,0.0,38,9
6.1,51000000,149270999,39.001682,116.0,927,98270999,2.9268823333333334,17.747336210296442,18.82127400385676,3.68892150322986,281,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,"Me, Myself & Irene",0.141,0.165,0.695,0.1761,0.492,0.0,0.508,0.4404,44,4
5.3,51000000,72779000,10.430832,90.0,225,21779000,1.4270392156862746,17.747336210296442,18.102938023755648,2.436314266058728,435,7.5,7.5,7.52,2006.0,4.0,2000.0,1,0,1,3,1,1,Barnyard,0.075,0.185,0.74,-0.8793,0.0,0.0,1.0,0.0,77,9
5.1,0,47231070,5.952527,93.0,109,47231070,0.0,0.0,17.670562517880285,1.939105190613588,124,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,0,3,1,Deck the Halls,0.21,0.0,0.79,0.7042,0.0,0.0,1.0,0.0,24,4
5.6,50000000,709827462,94.815867,130.0,2436,659827462,14.19654924,17.72753358339242,20.3805324886088,4.562428297567094,328,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,The Twilight Saga: New Moon,0.234,0.08,0.686,0.8674,0.0,0.0,1.0,0.0,56,4
7.3,60000000,484409218,67.298732,90.0,4056,424409218,8.073486966666668,17.909855136853043,19.998440601254018,4.223891201250677,253,7.3,7.3,7.507692307692308,2005.0,7.0,2000.0,0,0,1,3,3,1,Shrek,0.085,0.085,0.83,0.2486,0.457,0.0,0.543,0.6369,42,6
6.5,50200000,127869379,26.60772,106.0,1652,77669379,2.5471987848605577,17.731525604582277,18.66651983210116,3.3180954437564423,260,7.5,7.5,7.52,2011.0,3.0,2010.0,1,0,1,3,1,1,The Adjustment Bureau,0.121,0.123,0.757,0.2263,0.0,0.464,0.536,-0.3818,47,4
6.6,48000000,390493908,28.803729,143.0,909,342493908,8.13528975,17.6867115897055,19.782922929171026,3.3946335199109123,273,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Robin Hood: Prince of Thieves,0.051,0.261,0.688,-0.9118,0.352,0.077,0.57,0.8481,43,21
6.7,50000000,273552592,27.039636,139.0,913,223552592,5.47105184,17.72753358339242,19.42700445750065,3.3336190806270656,388,7.5,7.5,7.52,1996.0,6.0,1990.0,0,1,1,3,2,1,Jerry Maguire,0.08,0.064,0.856,0.296,0.443,0.216,0.341,0.4588,68,5
6.3,50000000,549368315,68.87691,106.0,4697,499368315,10.9873663,17.72753358339242,20.1242796597768,4.246735265627621,174,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Ted,0.164,0.0,0.836,0.6705,0.0,0.0,1.0,0.0,30,3
7.2,50000000,314178011,37.885022,139.0,915,264178011,6.28356022,17.72753358339242,19.56547030043313,3.660609137917609,349,7.2,7.833333333333333,7.372727272727272,2005.0,7.0,2000.0,0,0,1,3,3,1,As Good as It Gets,0.08,0.072,0.848,0.128,0.456,0.0,0.544,0.7717,57,10
7.0,50000000,202292902,35.537397,115.0,832,152292902,4.04585804,17.72753358339242,19.125227219960564,3.598336311411838,238,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Patch Adams,0.227,0.042,0.731,0.8779,0.485,0.364,0.152,0.2023,45,3
6.0,50000000,173649015,38.125008,119.0,923,123649015,3.4729803,17.72753358339242,18.972546670567613,3.66676185333314,133,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Anchorman 2: The Legend Continues,0.076,0.0,0.924,0.2023,0.0,0.0,1.0,0.0,23,6
5.6,50000000,171269535,18.121404,96.0,644,121269535,3.4253907,17.72753358339242,18.95874910743223,2.9508083358896773,371,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Mr. Deeds,0.058,0.0,0.942,0.4019,0.0,0.0,1.0,0.0,62,7
