vote_average,budget,revenue,popularity,runtime,vote_count,profit,roi,log_budget,log_revenue,log_popularity,overview_length,director_success_rate,lead_actor_success_rate,genre_popularity_score,release_year,release_month,decade,is_modern,is_summer_release,has_tagline,budget_tier_encoded,release_season_encoded,is_english,title
7.6,170000000,714766572,72.225265,136.0,5764,544766572,4.204509247058824,18.951309000896888,20.387466576026245,4.293540511689836,728,7.35,7.35,7.45625,2005.0,7.0,2000.0,0,0,1,3,3,1,Captain America: The Winter Soldier
6.0,165000000,752600867,44.041186,93.0,1959,587600867,4.561217375757575,18.92145603792546,20.43904558945805,3.8075773156339507,322,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Shrek Forever After
6.2,190000000,209154322,130.311355,130.0,2846,19154322,1.1008122210526317,19.06253463538792,19.15858292501492,4.877571258909897,310,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Tomorrowland
7.8,165000000,652105443,203.73459,102.0,6135,487105443,3.9521542,18.92145603792546,20.2957168307414,5.321714457385551,171,7.8,7.8,7.566666666666666,2005.0,7.0,2000.0,0,0,1,3,3,1,Big Hero 6
7.1,165000000,471222889,62.341073,108.0,4570,306222889,2.855896296969697,18.92145603792546,19.970841767220247,4.14853398128908,658,7.1,7.1,7.507692307692308,2012.0,1.0,2010.0,1,0,1,3,0,1,Wreck-It Ralph
6.4,165000000,305875730,47.323228,100.0,1474,140875730,1.853792303030303,18.92145603792546,19.538689469589396,3.8779123560309907,194,7.5,7.5,7.5200000000000005,2004.0,10.0,2000.0,1,0,1,3,3,1,The Polar Express
4.9,165000000,389681935,48.775723,120.0,2491,224681935,2.3617086969696968,18.92145603792546,19.78084141562924,3.9075273752089066,343,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Independence Day: Resurgence
7.5,165000000,494878759,67.263269,98.0,4227,329878759,2.999265206060606,18.92145603792546,20.019823361239958,4.223371832750837,352,7.55,7.5,7.566666666666666,2010.0,5.0,2010.0,1,0,1,3,1,1,How to Train Your Dragon
5.9,200000000,435000000,69.405188,109.0,2143,235000000,2.175,19.11382792951231,19.89085659135181,4.254266953630606,360,7.5,7.5,7.5200000000000005,2003.0,2.0,2000.0,1,0,1,3,0,1,Terminator 3: Rise of the Machines
7.9,170000000,773328629,481.098624,121.0,9742,603328629,4.548991935294118,18.951309000896888,20.466214652041472,6.178148707227873,164,7.9,7.9,7.6000000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Guardians of the Galaxy
